participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant38,movies,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,548430
partcipant22,movies,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,443844
partcipant15,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,804142
partcipant58,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,1055394
partcipant5,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,229185
partcipant39,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,158165
partcipant20,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,705415
partcipant51,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,348954
partcipant33,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,363301
partcipant11,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,127336
partcipant55,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,1061322
partcipant42,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,749451
partcipant2,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,558253
partcipant43,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,493578
partcipant16,birdstrikes,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,226503
partcipant37,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,732332
partcipant27,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,1045948
partcipant49,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,193396
partcipant54,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,927655
partcipant3,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,157941
partcipant53,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,131910
partcipant52,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,380652
partcipant9,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,829866
partcipant44,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,378562
partcipant32,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,522845
partcipant48,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,614957
partcipant14,movies,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,630240
