participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
stu14,student,birdstrikes,compassql,dfs,4. Exploration,1,0,-2,-1,-1,1
pro6,professional,birdstrikes,dziban,bfs,2. Retrieve Value,2,2,2,0,1,1
stu12,student,birdstrikes,dziban,dfs,3. Prediction,2,2,1,1,1,1
stu18,student,birdstrikes,dziban,bfs,2. Retrieve Value,2,2,0,2,0,1
pro12,professional,birdstrikes,dziban,dfs,3. Prediction,1,0,1,-1,-1,1
pro23,professional,movies,compassql,dfs,2. Retrieve Value,1,0,-1,1,-1,-1
pro22,professional,movies,dziban,bfs,2. Retrieve Value,0,0,0,0,0,0
stu36,student,movies,dziban,dfs,1. Find Extremum,2,2,2,2,2,2
stu20,student,birdstrikes,dziban,dfs,4. Exploration,0,1,0,0,1,1
pro19,professional,birdstrikes,compassql,dfs,2. Retrieve Value,0,2,-2,0,-2,0
stu22,student,birdstrikes,dziban,bfs,3. Prediction,1,1,2,2,-1,2
pro14,professional,birdstrikes,dziban,dfs,4. Exploration,2,1,1,1,1,2
pro11,professional,birdstrikes,compassql,dfs,4. Exploration,1,1,1,0,1,-1
pro13,professional,movies,compassql,bfs,2. Retrieve Value,1,1,-1,0,-1,1
pro10,professional,birdstrikes,dziban,dfs,1. Find Extremum,1,2,1,0,1,1
pro5,professional,movies,dziban,dfs,1. Find Extremum,0,1,1,1,1,0
stu40,student,birdstrikes,dziban,dfs,3. Prediction,2,1,-2,-2,-2,-1
stu40,student,birdstrikes,dziban,dfs,4. Exploration,2,1,-2,-2,-2,0
stu21,student,movies,compassql,bfs,2. Retrieve Value,0,0,1,1,1,1
stu22,student,birdstrikes,dziban,bfs,4. Exploration,2,1,-1,1,-2,2
pro18,professional,movies,dziban,dfs,1. Find Extremum,-1,-1,-1,-1,-1,-1
pro11,professional,birdstrikes,compassql,dfs,3. Prediction,1,1,-1,0,-1,0
stu30,student,movies,dziban,dfs,1. Find Extremum,1,2,1,1,1,1
stu1,student,birdstrikes,compassql,bfs,1. Find Extremum,-1,1,-1,0,-1,-1
stu33,student,birdstrikes,compassql,bfs,2. Retrieve Value,2,2,1,2,1,0
stu5,student,birdstrikes,compassql,dfs,1. Find Extremum,0,1,-1,-1,-1,1
pro14,professional,birdstrikes,dziban,dfs,3. Prediction,2,2,1,1,0,2
pro25,professional,movies,compassql,dfs,2. Retrieve Value,2,2,2,1,1,2
pro26,professional,birdstrikes,dziban,bfs,1. Find Extremum,1,1,-1,-1,-1,0
pro12,professional,birdstrikes,dziban,dfs,4. Exploration,1,2,1,0,1,0
stu20,student,birdstrikes,dziban,dfs,3. Prediction,0,0,0,0,0,0
stu9,student,birdstrikes,compassql,dfs,2. Retrieve Value,1,2,2,1,2,2
stu12,student,birdstrikes,dziban,dfs,4. Exploration,1,2,0,-1,-1,-1
stu14,student,birdstrikes,compassql,dfs,3. Prediction,0,1,-2,-1,-1,1
stu27,student,birdstrikes,dziban,dfs,1. Find Extremum,1,1,2,2,1,1
stu24,student,movies,compassql,bfs,2. Retrieve Value,0,1,2,2,2,2
stu31,student,movies,dziban,bfs,1. Find Extremum,1,1,-1,2,-1,-1
pro21,professional,movies,dziban,bfs,2. Retrieve Value,1,1,2,1,2,1
stu23,student,birdstrikes,dziban,dfs,4. Exploration,1,1,0,1,0,1
stu15,student,movies,dziban,bfs,2. Retrieve Value,1,2,-1,2,-2,0
pro3,professional,movies,compassql,bfs,4. Exploration,1,1,2,1,2,1
stu16,student,birdstrikes,compassql,dfs,1. Find Extremum,0,0,0,0,-1,0
stu11,student,movies,dziban,dfs,2. Retrieve Value,2,2,0,0,0,1
pro16,professional,birdstrikes,compassql,bfs,4. Exploration,2,1,1,2,0,2
stu29,student,movies,dziban,bfs,4. Exploration,2,2,2,2,2,2
pro15,professional,movies,dziban,bfs,2. Retrieve Value,-1,-1,-1,0,0,0
stu37,student,movies,dziban,dfs,3. Prediction,1,0,0,0,-1,-1
pro1,professional,birdstrikes,compassql,dfs,2. Retrieve Value,1,2,-2,-2,-2,-2
stu8,student,birdstrikes,compassql,bfs,2. Retrieve Value,1,1,2,2,2,2
stu39,student,movies,dziban,dfs,2. Retrieve Value,2,2,0,1,1,0
